"Name","Team","Age","IP","Balls","Strikes","Pitches","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Tanyon Sturtze","Dodgers","37","2.1","13","26","39","68.4 %","90.8","","","","","","","","","31.6 %","83.1","","","2.6 %","1230"
"Aaron Miles","Cardinals","31","1.0","3","7","10","80.0 %","73.0","","","","","20.0 %","67.0","","","","","","","","1844"
"Joselo Diaz","Rangers","28","1.0","14","16","30","72.4 %","94.0","","","","","24.1 %","83.6","3.5 %","84.0","","","","","","2057"
"Phil Stockman","Braves","28","7.1","57","72","129","70.5 %","91.2","","","","","29.5 %","76.4","","","","","","","","2206"
"Tony Pena","Royals","27","1.0","4","8","12","66.7 %","89.8","33.3 %","75.5","","","","","","","","","","","","2240"
"Alex Serrano","Angels","27","1.0","2","8","10","60.0 %","86.5","10.0 %","84.0","","","","","30.0 %","82.7","","","","","","2436"
"Neal Musser","Royals","27","1.0","7","6","13","76.9 %","91.8","23.1 %","83.7","","","","","","","","","","","","2727"
"Jon Meloan","Indians","23","2.0","12","14","26","88.5 %","92.2","","","","","11.5 %","82.0","","","","","","","","3355"
"Juan Morillo","Rockies","24","1.0","5","13","18","77.8 %","98.5","11.1 %","89.0","","","","","11.1 %","88.0","","","","","","3369"
"Josh Kinney","Cardinals","29","7.0","31","63","94","61.7 %","89.5","34.0 %","82.2","","","3.2 %","78.0","1.1 %","","","","","","","3638"
"Mike Hinckley","Nationals","25","13.2","82","110","192","56.5 %","90.4","","","","","37.7 %","74.7","5.8 %","79.1","","","","","0.5 %","3769"
"Randy Wells","- - -","25","5.1","24","30","54","57.4 %","89.2","14.8 %","83.5","","","","","27.8 %","81.7","","","","","","4535"
"James McDonald","Dodgers","23","6.0","35","60","95","60.0 %","91.4","","","","","20.0 %","73.1","20.0 %","74.7","","","","","","5523"
"Jae Kuk Ryu","Rays","25","1.1","13","13","26","50.0 %","88.5","3.9 %","76.0","","","","","46.2 %","79.4","","","","","","8228"
"Andrew Carpenter","Phillies","23","1.0","9","10","19","73.3 %","89.5","6.7 %","80.0","","","","","6.7 %","85.0","13.3 %","84.5","","","21.1 %","9533"
"Joey Devine","Athletics","24","45.2","254","463","717","70.6 %","93.1","","","","","29.2 %","81.0","0.1 %","81.0","","","","","1.7 %","9862"
"Phil Coke","Yankees","25","14.2","69","132","201","60.0 %","93.3","34.5 %","83.0","","","","","5.5 %","84.4","","","","","0.5 %","5535"
"Jason Motte","Cardinals","26","11.0","61","110","171","89.4 %","96.6","8.8 %","88.0","","","","","","","1.8 %","83.7","","","0.6 %","5861"
"Jose Mijares","Twins","23","10.1","47","82","129","68.0 %","91.9","23.4 %","79.7","","","","","8.6 %","82.9","","","","","0.8 %","4140"
"Kurt Birkins","Rays","27","10.0","52","79","131","66.4 %","86.7","29.0 %","79.0","","","2.3 %","77.0","2.3 %","81.7","","","","","","7266"
"Brad Ziegler","Athletics","28","59.2","320","514","834","86.6 %","85.3","7.1 %","72.9","","","","","6.3 %","75.5","","","","","3.0 %","7293"
"Jim Miller","Orioles","26","7.2","59","98","157","50.0 %","92.3","31.8 %","85.5","","","18.2 %","74.3","","","","","","","1.9 %","7458"
"Joe Nathan","Twins","33","67.2","376","685","1061","60.8 %","93.5","31.3 %","88.3","","","7.9 %","80.6","","","","","","","1.9 %","1122"
"Mariano Rivera","Yankees","38","70.2","303","676","979","18.0 %","93.1","","","82.0 %","92.8","","","","","","","","","0.6 %","844"
"Grant Balfour","Rays","30","58.1","387","640","1027","91.3 %","94.6","6.6 %","87.0","","","0.8 %","81.4","1.3 %","87.5","","","","","1.3 %","718"
"Peter Moylan","Braves","29","5.2","18","52","70","78.6 %","92.2","21.4 %","78.6","","","","","","","","","","","","4891"
"Joakim Soria","Royals","24","67.1","351","694","1045","72.4 %","90.9","8.8 %","79.0","","","9.9 %","69.0","8.9 %","83.9","","","","","1.7 %","6941"
"Jose Arredondo","Angels","24","61.0","375","566","941","59.6 %","93.7","7.7 %","85.4","","","","","","","32.8 %","84.9","","","1.5 %","4722"
"Merkin Valdez","Giants","26","16.0","114","157","271","78.5 %","94.3","3.8 %","84.1","","","","","4.2 %","85.1","13.4 %","84.4","","","3.7 %","7019"
"Chris Carpenter","Cardinals","33","15.1","84","124","208","52.7 %","91.9","28.5 %","87.3","","","13.5 %","74.6","5.3 %","83.6","","","","","0.5 %","1292"
"Scott Downs","Blue Jays","32","70.2","443","651","1094","66.4 %","89.9","2.7 %","82.1","","","30.8 %","75.4","0.1 %","79.0","","","","","3.1 %","773"
"Rich Rundles","Indians","27","5.0","38","61","99","59.2 %","84.7","22.5 %","74.0","","","17.4 %","70.9","1.0 %","78.0","","","","","1.0 %","2760"
"Brian Bruney","Yankees","26","34.1","221","327","548","65.9 %","94.0","30.1 %","87.7","","","","","4.0 %","86.6","","","","","","1929"
"Yovani Gallardo","Brewers","22","24.0","148","237","385","58.8 %","90.2","6.9 %","83.0","","","30.6 %","77.2","3.7 %","83.5","","","","","2.1 %","8173"
"Craig Breslow","- - -","27","47.0","279","421","700","47.0 %","88.6","33.8 %","83.8","","","5.0 %","73.0","14.3 %","75.3","","","","","1.9 %","4363"
"Scott Patterson","- - -","29","4.2","50","58","108","74.8 %","90.0","1.9 %","80.5","","","23.4 %","72.2","","","","","","","0.9 %","5"
"David Price","Rays","22","14.0","87","149","236","68.5 %","94.2","30.2 %","86.9","","","","","1.3 %","85.7","","","","","0.4 %","3184"
"Brad Lidge","Phillies","31","69.1","479","759","1238","43.4 %","94.3","56.2 %","85.1","","","","","0.4 %","84.8","","","","","1.4 %","563"
"Joe Nelson","Marlins","33","54.0","357","574","931","65.2 %","89.6","0.4 %","85.3","","","1.1 %","73.3","33.3 %","79.1","","","","","1.5 %","108"
"Joe Beimel","Dodgers","31","49.0","306","508","814","84.8 %","86.7","","","","","11.4 %","74.1","3.8 %","79.7","","","","","1.7 %","979"
"Arthur Rhodes","- - -","38","35.1","210","389","599","69.3 %","91.4","27.8 %","83.6","","","","","2.9 %","85.4","","","","","3.3 %","1097"
"Rich Harden","- - -","26","148.0","893","1564","2457","63.8 %","92.0","","","","","","","36.2 %","84.8","","","","","1.2 %","1772"
"Franklyn German","Rangers","28","21.2","158","209","367","68.1 %","93.4","","","","","","","","","31.9 %","84.4","","","1.4 %","1603"
"Chad Cordero","Nationals","26","4.1","40","58","98","76.6 %","83.6","17.0 %","75.9","","","","","6.4 %","79.7","","","","","4.1 %","1816"
"Sergio Romo","Giants","25","34.0","188","304","492","64.7 %","88.9","32.0 %","77.5","","","","","3.3 %","80.4","","","","","1.6 %","9817"
"Mike MacDougal","White Sox","31","17.0","149","166","315","43.3 %","93.9","47.2 %","85.0","","","9.5 %","81.1","","","","","","","2.5 %","612"
"Chad Bradford","- - -","33","59.1","240","507","747","77.8 %","79.6","13.0 %","67.1","","","","","9.2 %","73.8","","","","","3.4 %","904"
"Hong-Chih Kuo","Dodgers","26","80.0","446","820","1266","79.3 %","92.9","13.1 %","83.7","","","6.5 %","75.3","1.1 %","84.6","","","","","1.2 %","7016"
"Steven Shell","Nationals","25","50.0","326","488","814","60.3 %","89.0","6.7 %","81.0","","","27.7 %","75.5","","","5.4 %","80.6","","","2.1 %","3681"
"Taylor Buchholz","Rockies","26","66.1","335","556","891","62.0 %","92.2","","","","","37.7 %","80.9","0.2 %","83.5","","","","","0.7 %","2168"
"Brandon League","Blue Jays","25","33.0","179","316","495","83.2 %","96.9","11.5 %","88.4","","","","","5.3 %","87.6","","","","","4.9 %","3731"
"J.P. Howell","Rays","25","89.1","576","904","1480","50.4 %","86.4","","","0.8 %","85.3","36.6 %","80.6","12.3 %","79.7","","","","","1.2 %","8245"
"Jim Johnson","Orioles","25","68.2","396","649","1045","75.9 %","93.5","","","","","21.3 %","78.3","2.8 %","85.6","","","","","2.2 %","3656"
"Francisco Rodriguez","Angels","26","68.1","466","704","1170","50.7 %","91.9","","","","","32.4 %","79.6","16.9 %","84.5","","","","","1.7 %","1642"
"Brian Gordon","Rangers","29","4.0","23","38","61","67.2 %","88.4","21.3 %","79.4","","","8.2 %","68.5","3.3 %","81.0","","","","","","2374"
"Jesse Carlson","Blue Jays","27","60.0","295","601","896","42.7 %","88.5","57.2 %","79.7","","","","","0.1 %","82.0","","","","","5.9 %","4391"
"Cory Wade","Dodgers","25","71.1","348","710","1058","55.2 %","89.1","","","","","28.7 %","74.2","16.1 %","81.2","","","","","0.8 %","7570"
"Jeff Samardzija","Cubs","23","27.2","202","284","486","68.6 %","94.7","10.4 %","82.8","","","","","5.3 %","85.4","15.7 %","85.7","","","2.5 %","3254"
"Billy Wagner","Mets","36","47.0","232","465","697","71.1 %","94.5","28.5 %","82.8","","","","","0.4 %","87.7","","","","","1.3 %","578"
"Russ Springer","Cardinals","39","50.1","299","553","852","61.1 %","91.5","","","23.8 %","85.8","15.0 %","76.9","0.1 %","86.0","","","","","1.3 %","1652"
"Dennys Reyes","Twins","31","46.1","251","418","669","47.2 %","89.8","44.8 %","83.8","","","","","8.0 %","84.5","","","","","1.4 %","444"
"Jonathan Papelbon","Red Sox","27","69.1","319","732","1051","81.2 %","95.3","6.1 %","86.6","","","","","","","12.6 %","89.4","","","0.6 %","5975"
"Alfredo Aceves","Yankees","25","30.0","160","301","461","48.9 %","91.0","","","23.0 %","88.1","11.2 %","77.2","16.9 %","83.4","","","","","0.9 %","5164"
"Javier Lopez","Red Sox","30","59.1","371","590","961","68.0 %","87.6","20.1 %","76.3","","","","","11.9 %","79.8","","","","","0.5 %","1663"
"Brian Wolfe","Blue Jays","27","22.0","114","198","312","58.7 %","92.9","","","23.9 %","90.5","15.7 %","80.4","1.7 %","85.0","","","","","5.8 %","8515"
"Jon Adkins","Reds","30","3.2","31","36","67","58.5 %","90.1","38.5 %","82.3","","","","","3.1 %","82.0","","","","","3.0 %","1799"
"Mike Adams","Padres","29","65.1","344","670","1014","53.6 %","92.0","10.5 %","83.3","17.1 %","88.5","17.8 %","79.8","1.0 %","83.9","","","","","1.0 %","1937"
"Takashi Saito","Dodgers","38","47.0","307","545","852","64.5 %","92.3","26.1 %","82.7","","","9.3 %","77.7","","","0.1 %","79.0","","","0.9 %","6021"
"Geoff Geary","Astros","31","64.0","372","636","1008","65.8 %","91.5","15.9 %","82.5","","","16.0 %","80.4","2.2 %","84.8","","","","","2.2 %","1813"
"Johan Santana","Mets","29","234.1","1211","2387","3598","59.6 %","91.2","11.7 %","83.5","","","","","28.7 %","80.0","","","","","1.6 %","755"
"Cliff Lee","Indians","29","223.1","1010","2279","3289","70.1 %","90.5","","","7.3 %","84.8","9.6 %","74.7","12.9 %","82.4","","","","","1.2 %","1636"
"Justin Duchscherer","Athletics","30","141.2","732","1317","2049","44.4 %","86.0","","","30.5 %","81.5","24.3 %","69.9","0.8 %","80.3","","","","","1.2 %","910"
"John Smoltz","Braves","41","28.0","157","292","449","41.5 %","92.3","35.8 %","86.1","","","7.7 %","78.2","5.0 %","83.3","10.0 %","87.7","","","0.9 %","115"
"Rafael Soriano","Braves","28","14.0","91","143","234","66.4 %","93.0","31.0 %","81.1","","","","","2.7 %","84.5","","","","","3.4 %","1100"
"Joba Chamberlain","Yankees","22","100.1","637","1074","1711","65.3 %","95.0","25.2 %","85.1","","","7.9 %","77.2","1.7 %","82.6","","","","","1.6 %","2692"
"Hideki Okajima","Red Sox","32","62.0","399","634","1033","53.9 %","88.1","","","","","25.1 %","75.9","","","21.0 %","83.1","","","0.7 %","7763"
"Juan Cruz","Diamondbacks","29","51.2","384","606","990","67.2 %","94.3","28.0 %","80.9","","","0.5 %","75.0","4.3 %","82.8","","","","","0.5 %","273"
"Tim Lincecum","Giants","24","227.0","1347","2335","3682","66.1 %","94.1","1.7 %","84.5","","","13.7 %","79.6","18.6 %","83.7","","","","","1.7 %","5705"
"Scott Lewis","Indians","24","24.0","128","257","385","65.9 %","87.3","7.8 %","76.9","","","8.1 %","72.5","18.2 %","77.7","","","","","0.3 %","7322"
"Bobby Jenks","White Sox","27","61.2","266","550","816","71.6 %","93.9","14.9 %","88.4","","","10.2 %","82.7","3.3 %","83.7","","","","","2.2 %","8645"
"Ramon Ramirez","Royals","26","71.2","437","691","1128","48.0 %","92.5","18.6 %","87.2","","","","","33.4 %","87.9","","","","","2.8 %","7986"
"Ramon Ramirez","Reds","25","27.0","157","276","433","48.4 %","89.7","3.5 %","81.1","","","","","48.1 %","81.4","","","","","1.4 %","2899"
"Josh Geer","Padres","25","27.0","167","302","469","64.4 %","87.7","13.9 %","80.9","","","","","21.7 %","77.5","","","","","1.7 %","4781"
"Matt Thornton","White Sox","31","67.1","340","700","1040","83.1 %","95.3","12.6 %","85.7","","","","","4.3 %","88.5","","","","","2.0 %","1918"
"Carlos Marmol","Cubs","25","87.1","580","929","1509","48.2 %","93.7","51.9 %","81.9","","","","","","","","","","","1.6 %","2790"
"Scot Shields","Angels","32","63.1","409","659","1068","76.1 %","92.0","","","","","23.7 %","80.0","0.3 %","85.3","","","","","3.3 %","35"
"Carlos Rosa","Royals","23","3.1","15","36","51","64.0 %","94.3","22.0 %","86.5","","","","","14.0 %","87.4","","","","","2.0 %","8529"
"CC Sabathia","- - -","27","253.0","1284","2530","3814","53.9 %","93.7","25.2 %","80.5","","","","","20.8 %","86.1","","","","","0.5 %","404"
"Brian Fuentes","Rockies","32","62.2","398","719","1117","72.2 %","91.6","17.5 %","77.2","","","","","10.3 %","72.6","","","","","0.4 %","429"
"J.C. Romero","Phillies","32","59.0","452","582","1034","69.2 %","91.1","18.2 %","79.3","","","","","12.6 %","78.9","","","","","2.2 %","754"
"Anthony Reyes","- - -","26","49.0","276","508","784","71.3 %","90.9","","","","","19.0 %","78.9","9.6 %","79.0","","","","","0.8 %","7105"
"Roy Halladay","Blue Jays","31","246.0","1190","2370","3560","40.7 %","92.7","","","33.2 %","90.3","22.8 %","77.7","3.4 %","84.8","","","","","2.0 %","1303"
"Brian Shouse","Brewers","39","51.1","263","468","731","73.6 %","80.5","23.1 %","74.4","","","","","3.3 %","75.5","","","","","4.1 %","630"
"Chad Qualls","Diamondbacks","29","73.2","352","709","1061","69.8 %","92.6","30.0 %","86.4","","","","","","","0.2 %","86.5","","","1.3 %","2170"
"Shane Loux","Angels","28","16.0","87","144","231","78.5 %","90.7","16.2 %","85.0","","","1.3 %","78.7","4.0 %","84.1","","","","","1.3 %","1613"
"John Grabow","Pirates","29","76.0","494","731","1225","45.4 %","90.8","16.3 %","84.6","","","","","38.4 %","83.2","","","","","2.5 %","1848"
"Mark DiFelice","Brewers","31","19.0","106","228","334","12.0 %","87.3","","","81.1 %","83.0","1.8 %","73.5","5.1 %","80.0","","","","","0.3 %","2468"
"Jake Peavy","Padres","27","173.2","1046","1814","2860","57.4 %","92.1","19.2 %","81.3","15.8 %","85.6","1.5 %","74.2","6.1 %","84.1","","","","","1.3 %","1051"
"Bill Bray","Reds","25","47.0","278","523","801","49.0 %","91.8","50.9 %","85.0","","","","","0.1 %","84.0","","","","","3.4 %","8538"
"Chad Durbin","Phillies","30","87.2","573","844","1417","46.9 %","90.2","38.1 %","86.4","0.9 %","89.3","6.5 %","76.8","7.6 %","81.9","","","","","3.0 %","1442"
"Darren Oliver","Angels","37","72.0","390","711","1101","63.9 %","88.9","35.4 %","77.9","","","","","0.7 %","83.0","","","","","1.0 %","206"
"Brian Tallet","Blue Jays","30","56.1","352","580","932","62.2 %","89.6","20.4 %","82.3","0.1 %","88.0","","","17.3 %","82.3","","","","","1.6 %","1646"
"Chris Volstad","Marlins","21","84.1","508","804","1312","67.0 %","90.5","","","","","24.2 %","79.1","8.8 %","83.1","","","","","2.2 %","9901"
"Daisuke Matsuzaka","Red Sox","27","167.2","1142","1762","2904","52.2 %","91.8","23.1 %","81.7","15.0 %","88.6","4.1 %","78.5","3.8 %","82.2","1.8 %","82.9","","","0.7 %","7775"
"Justin Hampson","Padres","28","30.2","216","341","557","28.2 %","87.2","49.9 %","82.7","","","17.3 %","73.3","4.6 %","80.0","","","","","1.4 %","2209"
"B.J. Ryan","Blue Jays","32","58.0","421","662","1083","79.5 %","88.9","20.2 %","82.5","","","","","0.3 %","83.7","","","","","3.6 %","168"
"Ryan Dempster","Cubs","31","206.2","1232","2109","3341","55.9 %","91.1","27.5 %","84.6","","","","","","","16.7 %","82.3","","","1.2 %","517"
"Juan Oviedo","Royals","26","48.1","235","471","706","61.3 %","94.4","18.7 %","83.6","","","","","20.0 %","84.9","","","","","4.8 %","2886"
"Ty Taubenheim","Pirates","25","6.0","49","52","101","80.2 %","88.9","14.9 %","81.1","","","2.0 %","74.0","3.0 %","82.7","","","","","","5561"
"Jason Grilli","- - -","31","75.0","513","787","1300","58.3 %","92.3","38.7 %","84.1","","","","","3.0 %","83.0","","","","","2.3 %","521"
"Matt Capps","Pirates","24","53.2","236","491","727","79.0 %","91.6","14.5 %","82.9","","","","","6.5 %","84.6","","","","","0.3 %","4788"
"Ryan Madson","Phillies","27","82.2","441","814","1255","57.5 %","92.9","","","15.3 %","89.6","3.5 %","77.5","23.7 %","80.9","","","","","1.7 %","1852"
"Max Scherzer","Diamondbacks","23","56.0","336","593","929","72.5 %","94.2","17.0 %","84.4","","","","","10.5 %","84.7","","","","","0.7 %","3137"
"Ben Sheets","Brewers","29","198.1","1052","2002","3054","61.8 %","92.6","","","","","33.0 %","80.0","5.2 %","86.1","","","","","2.3 %","710"
"Andrew Brown","Athletics","27","35.0","252","329","581","67.5 %","91.8","18.9 %","85.0","2.5 %","89.8","3.9 %","81.2","7.3 %","83.1","","","","","1.2 %","2115"
"Cole Hamels","Phillies","24","227.1","1135","2292","3427","54.8 %","90.4","","","","","13.7 %","75.6","31.5 %","79.9","","","","","1.3 %","4972"
"Jerry Blevins","Athletics","24","37.2","235","391","626","69.5 %","91.1","","","","","27.9 %","73.0","2.6 %","83.7","","","","","1.9 %","7841"
"Jake Westbrook","Indians","30","34.2","185","319","504","65.3 %","90.7","15.0 %","81.0","7.2 %","86.8","","","12.4 %","80.5","","","","","1.0 %","412"
"Dan Wheeler","Rays","30","66.1","370","650","1020","69.6 %","88.9","16.3 %","79.4","","","6.3 %","76.8","7.9 %","83.6","","","","","2.8 %","120"
"Frank Francisco","Rangers","28","63.1","405","723","1128","77.7 %","94.7","","","","","8.8 %","78.2","","","13.5 %","85.7","","","0.7 %","1933"
"Jonathan Broxton","Dodgers","24","69.0","402","773","1175","75.0 %","96.3","22.3 %","87.7","","","","","2.7 %","88.8","","","","","1.1 %","4759"
"Chad Billingsley","Dodgers","23","200.2","1235","2089","3324","58.9 %","91.5","2.3 %","85.2","18.6 %","87.6","17.5 %","77.8","2.8 %","84.0","","","","","1.3 %","5842"
"Matt Lindstrom","Marlins","28","57.1","329","576","905","77.0 %","96.9","19.5 %","83.5","","","","","","","3.5 %","87.7","","","2.7 %","4604"
"Justin Masterson","Red Sox","23","88.1","540","845","1385","66.7 %","89.5","30.2 %","81.1","","","","","3.1 %","81.6","","","","","1.2 %","2038"
"Tim Hudson","Braves","32","142.0","736","1272","2008","62.5 %","90.3","18.3 %","85.0","","","4.3 %","75.8","7.0 %","79.8","7.9 %","81.9","","","3.0 %","921"
"Mitch Stetter","Brewers","27","25.1","193","261","454","49.2 %","84.4","50.8 %","76.5","","","","","","","","","","","2.2 %","5579"
"Adam Wainwright","Cardinals","26","132.0","729","1222","1951","53.7 %","90.1","21.5 %","84.0","","","17.9 %","73.2","6.9 %","80.6","","","","","0.6 %","2233"
"Jon Lester","Red Sox","24","210.1","1199","2110","3309","56.6 %","92.1","","","22.7 %","88.4","17.2 %","76.2","3.6 %","83.9","","","","","1.6 %","4930"
"Billy Buckner","Diamondbacks","24","14.0","99","136","235","64.0 %","90.5","","","4.0 %","81.1","23.3 %","79.5","8.8 %","82.8","","","","","1.3 %","8253"
"Edinson Volquez","Reds","24","196.0","1313","2073","3386","55.4 %","93.6","3.6 %","82.4","","","9.1 %","78.1","31.9 %","82.4","","","","","1.2 %","3990"
"Roy Corcoran","Mariners","28","72.2","459","673","1132","77.8 %","91.7","14.5 %","82.4","","","","","7.7 %","84.4","","","","","2.2 %","1780"
"Jared Burton","Reds","27","58.2","369","617","986","25.1 %","92.2","16.7 %","86.5","51.6 %","91.7","","","6.6 %","87.1","","","","","2.7 %","8346"
"Kameron Loe","Rangers","26","30.2","171","329","500","71.3 %","89.5","3.9 %","83.5","","","19.8 %","77.4","5.1 %","82.0","","","","","1.0 %","4422"
"Derek Lowe","Dodgers","35","211.0","1174","1963","3137","61.3 %","89.2","31.8 %","82.9","","","","","6.9 %","83.7","","","","","1.6 %","199"
"David Weathers","Reds","38","69.1","492","704","1196","59.5 %","87.3","32.9 %","82.2","","","","","7.6 %","82.8","","","","","4.6 %","902"
"Kerry Wood","Cubs","31","66.1","354","722","1076","68.4 %","94.8","22.9 %","82.7","0.6 %","90.3","8.2 %","80.4","","","","","","","2.1 %","304"
"Clay Condrey","Phillies","32","69.0","364","647","1011","59.3 %","90.0","15.0 %","83.8","16.8 %","88.1","","","8.9 %","82.3","","","","","2.9 %","1579"
"Manny Delcarmen","Red Sox","26","74.1","487","788","1275","67.2 %","95.5","","","","","17.6 %","77.8","15.1 %","83.4","","","","","0.4 %","3180"
"Kent Mercker","Reds","40","13.2","93","133","226","65.1 %","88.4","11.9 %","82.5","","","","","22.9 %","80.1","","","","","3.1 %","439"
"Brandon Webb","Diamondbacks","29","226.2","1217","2141","3358","71.0 %","88.0","","","0.7 %","83.7","11.8 %","73.7","16.5 %","77.8","","","","","1.4 %","1692"
"John Danks","White Sox","23","195.0","1100","2044","3144","52.6 %","91.3","4.6 %","83.9","16.4 %","87.1","6.2 %","77.0","20.2 %","82.8","","","","","1.4 %","6329"
"Francisco Cordero","Reds","33","70.1","501","771","1272","52.0 %","94.6","37.3 %","86.8","","","","","10.7 %","86.1","","","","","1.7 %","1243"
"Jeremy Affeldt","Reds","29","78.1","504","799","1303","62.8 %","94.6","","","","","31.0 %","79.1","6.1 %","86.9","","","","","1.0 %","583"
"Dan Haren","Diamondbacks","27","216.0","1132","2207","3339","50.3 %","91.2","","","6.6 %","87.8","24.7 %","80.8","","","18.4 %","85.1","","","1.2 %","1757"
"Scott Schoeneweis","Mets","34","56.2","341","562","903","78.8 %","88.8","20.8 %","80.7","","","","","0.5 %","81.5","","","","","3.0 %","33"
"Brandon Morrow","Mariners","23","64.2","421","695","1116","70.7 %","95.5","16.2 %","84.8","","","1.9 %","81.8","0.9 %","85.8","10.3 %","85.3","","","0.8 %","9346"
"Mike Mussina","Yankees","39","200.1","1050","2085","3135","50.3 %","86.4","20.0 %","81.5","","","24.4 %","73.2","5.2 %","70.4","0.2 %","79.0","","","1.0 %","837"
"Jose Valverde","Astros","30","72.0","411","832","1243","74.1 %","95.5","1.4 %","83.6","","","","","","","24.5 %","84.3","","","1.7 %","1726"
"Shaun Marcum","Blue Jays","26","151.1","873","1457","2330","38.9 %","86.8","12.2 %","81.4","18.1 %","84.7","8.6 %","74.7","22.2 %","81.1","","","","","6.1 %","6204"
"Chan Ho Park","Dodgers","35","95.1","571","1035","1606","51.3 %","92.6","32.3 %","84.9","","","11.9 %","77.8","4.6 %","83.1","","","","","2.5 %","1267"
"Alex Hinshaw","Giants","25","39.2","310","432","742","75.2 %","92.4","2.7 %","82.7","","","20.4 %","72.8","1.7 %","84.1","","","","","1.6 %","3941"
"Cesar Jimenez","Mariners","23","34.1","210","329","539","54.0 %","90.0","12.8 %","79.1","","","6.2 %","77.2","27.0 %","79.0","","","","","1.7 %","3762"
"Kevin Gregg","Marlins","30","68.2","527","763","1290","65.0 %","93.1","23.6 %","83.4","0.1 %","90.0","","","0.6 %","83.7","10.6 %","85.6","","","1.3 %","1793"
"Joe Saunders","Angels","27","198.0","1149","1855","3004","63.3 %","91.0","4.2 %","81.1","","","11.2 %","76.6","21.3 %","81.7","","","","","0.9 %","4366"
"Ryan Rowland-Smith","Mariners","25","118.1","723","1224","1947","54.9 %","88.7","9.3 %","77.2","","","16.9 %","71.4","18.9 %","79.3","","","","","2.2 %","3245"
"Scott Baker","Twins","26","172.1","844","1850","2694","61.2 %","90.7","19.0 %","81.9","","","12.5 %","78.0","7.3 %","82.0","","","","","1.4 %","6176"
"Felix Hernandez","Mariners","22","200.2","1172","2027","3199","65.9 %","94.6","12.3 %","87.1","","","8.5 %","82.0","13.3 %","87.5","","","","","2.7 %","4772"
"Chris Perez","Cardinals","22","41.2","280","479","759","75.0 %","95.2","24.6 %","85.1","","","0.4 %","81.3","","","","","","","2.6 %","5213"
"Zack Greinke","Royals","24","202.1","1170","2057","3227","61.5 %","93.3","18.8 %","85.3","","","12.0 %","74.4","7.7 %","82.0","","","","","1.5 %","1943"
"Joel Zumaya","Tigers","23","23.1","192","258","450","82.8 %","97.5","","","","","14.5 %","81.8","2.8 %","86.0","","","","","3.1 %","4699"
"Ron Mahay","Royals","37","64.2","450","645","1095","58.5 %","90.5","20.9 %","81.9","","","","","20.6 %","83.5","","","","","2.1 %","290"
"Scott Kazmir","Rays","24","152.1","1010","1739","2749","75.3 %","91.7","9.6 %","82.0","","","","","15.1 %","78.8","","","","","1.0 %","4897"
"Salomon Torres","Brewers","36","80.0","500","782","1282","75.2 %","92.3","5.3 %","81.8","","","6.2 %","78.4","","","13.3 %","85.4","","","4.7 %","1628"
